Product,ProductID,Counts
BLU Dash JR D140 Unlocked Dual Sim Phone (Pink),B00FJ92RYO,10
BLU Dash JR D140 Unlocked Dual Sim Phone (Silver),B00FJ92RYO,19
BLU Dash JR D140 Unlocked Dual Sim Phone (White),B00FJ92RYO,7
BLU Dash Music 4.0 D272a Unlocked Dual SIM Phone (Black),B00G3C2FTS,46
BLU Dash Music 4.0 D272a Unlocked Dual SIM Phone (Blue),B00G3C2FTS,46
BLU Dash Music 4.0 D272a Unlocked Dual SIM Phone (Pink),B00G3C2FTS,46
BLU Dash Music 4.0 D272a Unlocked Dual SIM Phone (Silver),B00G3C2FTS,46
BLU Dash Music 4.0 D272a Unlocked Dual SIM Phone (White),B00G3C2FTS,46
BLU Dash Music 4.0 D272a Unlocked Dual SIM Phone (Yellow),B00G3C2FTS,46
"BLU Diva X T372T Unlocked GSM Phone with Dual SIM, 1.3MP Camera + LED Flash, Blu",B00DSRX716,2
"BLU Diva X T372T Unlocked GSM Phone with Dual SIM, 1.3MP Camera + LED Flash, Blu",B00DSRX717,3
BLU JENNY T172I W/BT QUAD BAND DUAL SIM BLACK/BLUE,B008RBKPEA,51
"BLU Jenny T172i Unlocked GSM Phone with Dual SIM, VGA Camera, Video, Bluetooth, SMS, Social Networking, FM Radio, MP3/MP4 Player, Flashlight and microSD Slot - Blue/Black",B008RBKPEA,11
"BLU Life One L120 Unlocked Dual Sim Phone with 5.0-inch IPS HD Display, Quad-Core 1.2GHz Processor, Android 4.2 JB, , 4G HSPA+ up to 42Mbps, 13MP Camera, and Micro SD Slot",B00F9BFIMA,130
BLU Life One M L131L White Quad Band Unlocked Android Phone,B00ICNB588,10
"BLU Life Play L100I Unlocked Dual Sim Phone with Quad-Core 1.2GHz Processor, Android 4.2 JB, 4.7-inch IPS HD Display, 4G HSPA+ up to 42Mbps and 8MP Camera (Grey)",B00E9KXNVA,7
"BLU Life Play Unlocked Dual Sim Phone with Quad-Core 1.2GHz Processor, Android 4.2 JB, 4.7-inch IPS HD Display, 4G HSPA+ up to 42Mbps and 8MP Camera (Blue)",B00D62JK0A,276
"BLU Life Play Unlocked Dual Sim Phone with Quad-Core 1.2GHz Processor, Android 4.2 JB, 4.7-inch IPS HD Display, 4G HSPA+ up to 42Mbps and 8MP Camera (Pink)",B00D62JK0A,276
"BLU Life Play Unlocked Dual Sim Phone with Quad-Core 1.2GHz Processor, Android 4.2 JB, 4.7-inch IPS HD Display, 4G HSPA+ up to 42Mbps and 8MP Camera (White)",B00D62JK0A,276
"BLU Life Play Unlocked Dual Sim Phone with Quad-Core 1.2GHz Processor, Android 4.2 JB, 4.7-inch IPS HD Display, 4G HSPA+ up to 42Mbps and 8MP Camera (Yellow)",B00D62JK0A,276
"BLU Life Play Unlocked Dual Sim Phone with Quad-Core 1.2GHz Processor, Android 4.2 JB, 4.7-inch IPS HD Display,(Grey)",B00D62JK0A,276
BLU Life Play X L102A Black Unlocked GSM Dual-SIM Android Phone,B00HW477RG,17
BLU Life Pro Unlocked Phone (Black),B00HE55UV8,12
BLU Life Pure Unlocked Phone (Black),B00HHZWO78,58
BLU Life Pure Unlocked Phone (White),B00HHZWO78,58
BLU Life View - Unlocked Phone (White),B00ELQYG5E,103
"BLU M110 Swing Unlocked Quad Band Dual SIM Phone with 1.3MP Camera, FM Radio, Bluetooth and Social Networking - Unlocked Phone - US Warranty - Black",B007ZYFIRY,1
"BLU M110 Swing Unlocked Quad Band Dual SIM Phone with 1.3MP Camera, FM Radio, Bluetooth and Social Networking - Unlocked Phone - US Warranty - Pink",B007ZYFIC4,2
BLU Q170T Samba TV Unlocked Dual SIM Quad-Band GSM Phone (Black/Blue),B00DZS2E76,51
BLU Q170T Samba TV Unlocked Dual SIM Quad-Band GSM Phone (Black/Red),B00DZS2E76,51
BLU Q170T Samba TV Unlocked Dual SIM Quad-Band GSM Phone (White/Pink),B00DZS2E76,51
BLU Q170T Samba TV Unlocked Dual SIM Quad-Band GSM Phone (White/blue),B00DZS2E76,51
BLU Q360T-PINK Deco Pro TV Unlocked Quad-Band Dual SIM Phone with 3.2MP Camera/2.6-Inch Touchscreen/Wi-Fi/Bluetooth - US Warranty - Pink,B0081Q9Y9I,3
"BLU Q53-MAG Samba JR Unlocked Dual SIM Quad-Band GSM Phone with 1.3MP Camera, QWERTY Keypad, FM Radio/MP3 Player - US Warranty - Magenta",B0084D687Y,11
"BLU Q53-RED Samba JR Unlocked Dual SIM Quad-Band GSM Phone with 1.3MP Camera, QWERTY Keypad, FM Radio/MP3 Player - US Warranty - Red",B0084D687Y,20
"BLU Q53i-SL Samba JR Plus Quadband Phone with QWERTY Keypad, Camera, Bluetooth Facebook,Twitterand MP3/MP4 Player - US Warranty - Silver",B00AA6WVBK,22
"BLU Q53i-VLT Samba JR Plus Quadband Phone with QWERTY Keypad, Camera, Bluetooth and Facebook - US Warranty - Violet",B00AA6WRF0,7
"BLU Quattro 4.5 D440 Unlocked Phone with NVIDIA Tegra 3 Quad-Core Processor, Android 4.0, 3G HSPA+, and 5MP Camera - U.S. Warranty (Black)",B00B7NBGPC,37
"BLU S210 Deejay Touch Unlocked Dual SIM Quad-Band GSM Phone with 2.6-Inch Touchscreen, 1.3 Camera and Bluetooth - US Warranty - Black/Pink",B007F9XLTQ,1
